id,topic_id,author,date,content,is_topic,category_id,datetime,cleaned_text,polarity,subjectivity,sentiment,keywords
r3,103,FilmStudent,3 hours ago,The cinematography in this film was exceptional too. The way they used lighting and color to reflect the emotional states of the characters added so much depth to the story.,False,2,2025-03-25 13:53:59.853917,the cinematography in this film was exceptional too the way they used lighting and color to reflect the emotional states of the characters added so much depth to the story,0.2888888888888889,0.6166666666666666,positive,"cinematography,film,exceptional,used,lighting"
t104,104,ComedyLover,2 days ago,Let's compile a list of the absolute funniest moments from Laugh Factory! My favorite has to be when the rookie comedian accidentally knocked over the microphone stand and then turned it into an impromptu physical comedy routine. I also loved the entire segment with the audience participation in episode 4. What scenes had you laughing the hardest?,True,5,2025-03-23 16:53:59.853917,let s compile a list of the absolute funniest moments from laugh factory my favorite has to be when the rookie comedian accidentally knocked over the microphone stand and then turned it into an impromptu physical comedy routine i also loved the entire segment with the audience participation in episode what scenes had you laughing the hardest,0.2833333333333333,0.5946428571428571,positive,"compile,list,absolute,funniest,moments"
r1,104,HumorHound,1 day ago,The impromptu competition between the two veteran comedians in episode 6 had me in stitches! The way they kept trying to one-up each other with increasingly absurd stories was comedy gold.,False,5,2025-03-24 16:53:59.853918,the impromptu competition between the two veteran comedians in episode had me in stitches the way they kept trying to one up each other with increasingly absurd stories was comedy gold,-0.20833333333333334,0.4583333333333333,negative,"impromptu,competition,veteran,comedians,episode"
r2,104,LaughTrack,20 hours ago,"For me, it's the running gag with the coffee machine throughout the season. It starts as just a minor joke but by the finale, it's become this magnificent callback that ties the whole show together.",False,5,20 hours ago,for me it s the running gag with the coffee machine throughout the season it starts as just a minor joke but by the finale it s become this magnificent callback that ties the whole show together,0.3833333333333333,0.5333333333333333,positive,"running,coffee,machine,throughout,season"
t105,105,OceanExplorer,3 days ago,This documentary was incredibly informative. I wanted to share some of the most interesting facts I learned about deep sea creatures. Did you know that some species living in the deepest parts of the ocean can survive pressures that would crush a submarine? Or that bioluminescence is actually quite common in deep-sea environments? What facts from the documentary surprised you the most?,True,6,2025-03-22 16:53:59.853919,this documentary was incredibly informative i wanted to share some of the most interesting facts i learned about deep sea creatures did you know that some species living in the deepest parts of the ocean can survive pressures that would crush a submarine or that bioluminescence is actually quite common in deep sea environments what facts from the documentary surprised you the most,0.2,0.4272727272727273,positive,"documentary,facts,deep,incredibly,informative"
r1,105,MarineExpert,2 days ago,I was amazed by the segment on bioluminescence! The footage they captured of those creatures creating light shows in the deep ocean was unlike anything I've seen before.,False,6,2025-03-23 16:53:59.853920,i was amazed by the segment on bioluminescence the footage they captured of those creatures creating light shows in the deep ocean was unlike anything i ve seen before,0.2,0.55,positive,"amazed,segment,bioluminescence,footage,captured"
r2,105,DeepSeaDiver,1 day ago,The fact about certain fish having antifreeze proteins in their blood was mind-blowing to me. Evolution has created some incredible adaptations for survival in extreme conditions.,False,6,2025-03-24 16:53:59.853920,the fact about certain fish having antifreeze proteins in their blood was mind blowing to me evolution has created some incredible adaptations for survival in extreme conditions,0.32976190476190476,0.8238095238095239,positive,"fact,certain,fish,antifreeze,proteins"
t106,106,ActionFan,3 days ago,Let's compile the most impressive action sequences from this year's releases! The chase scene in The Artifact was incredible with the way they incorporated practical effects with minimal CGI. I also loved the final showdown in Night Patrol where they used that abandoned factory location to full effect. What action scenes stood out to you this year?,True,1,2025-03-22 16:53:59.853920,let s compile the most impressive action sequences from this year s releases the chase scene in the artifact was incredible with the way they incorporated practical effects with minimal cgi i also loved the final showdown in night patrol where they used that abandoned factory location to full effect what action scenes stood out to you this year,0.39444444444444443,0.6166666666666667,positive,"action,year,compile,impressive,sequences"
r1,106,ActionJunkie,2 days ago,Don't forget the motorcycle chase through the marketplace in Shadow Kingdom! The way they incorporated the medieval setting with modern action choreography was brilliant.,False,1,2025-03-23 16:53:59.853921,don t forget the motorcycle chase through the marketplace in shadow kingdom the way they incorporated the medieval setting with modern action choreography was brilliant,0.30000000000000004,0.35,positive,"forget,motorcycle,chase,marketplace,shadow"
r2,106,FilmEditor,1 day ago,"What impressed me about The Artifact chase scene was the editing. They maintained perfect spatial awareness throughout - you always knew where characters were in relation to each other, which is rare in modern action sequences.",False,1,2025-03-24 16:53:59.853921,what impressed me about the artifact chase scene was the editing they maintained perfect spatial awareness throughout you always knew where characters were in relation to each other which is rare in modern action sequences,0.41250000000000003,0.6124999999999999,positive,"impressed,artifact,chase,scene,editing"
t107,107,ComedyBuff,4 days ago,I've discovered some amazing independent comedies lately and wanted to share these hidden gems with fellow comedy lovers. 'The Awkward Reunion' had me in stitches with its authentic dialogue and realistic awkward situations. 'Coffee Shop Philosophers' is another brilliant low-budget film with sharp writing. Any indie comedies you'd recommend that flew under the radar?,True,5,2025-03-21 16:53:59.853921,i ve discovered some amazing independent comedies lately and wanted to share these hidden gems with fellow comedy lovers the awkward reunion had me in stitches with its authentic dialogue and realistic awkward situations coffee shop philosophers is another brilliant low budget film with sharp writing any indie comedies you d recommend that flew under the radar,0.03125000000000001,0.5909722222222221,neutral,"comedies,awkward,discovered,amazing,independent"
r1,107,IndieFilmFan,3 days ago,You have to check out 'Midnight Grocery Run'! It's this brilliant little comedy about night shift workers at a 24-hour supermarket. The character dynamics are so authentic and hilarious.,False,5,2025-03-22 16:53:59.853922,you have to check out midnight grocery run it s this brilliant little comedy about night shift workers at a hour supermarket the character dynamics are so authentic and hilarious,0.428125,0.8125,positive,"check,midnight,grocery,brilliant,little"
r2,107,LaughoutLoud,2 days ago,I recently discovered 'The Family Recipe' which uses cooking as a metaphor for family dynamics. It has this perfect balance of heart and humor that most big studio comedies miss completely.,False,5,2025-03-23 16:53:59.853922,i recently discovered the family recipe which uses cooking as a metaphor for family dynamics it has this perfect balance of heart and humor that most big studio comedies miss completely,0.32,0.45,positive,"family,recently,discovered,recipe,uses"
t108,108,NatureExplorer,5 days ago,Looking for recommendations on the most informative nature documentaries to add to my watchlist. I've already seen Ocean Depths and Wild Earth (both were excellent!) but I'm hungry for more educational content about our natural world. Particularly interested in documentaries about forest ecosystems or mountain regions. Any suggestions would be greatly appreciated!,True,6,2025-03-20 16:53:59.853923,looking for recommendations on the most informative nature documentaries to add to my watchlist i ve already seen ocean depths and wild earth both were excellent but i m hungry for more educational content about our natural world particularly interested in documentaries about forest ecosystems or mountain regions any suggestions would be greatly appreciated,0.36250000000000004,0.45625,positive,"documentaries,looking,recommendations,informative,nature"
r1,108,WildlifeWatcher,4 days ago,"If you're interested in mountain ecosystems, 'Altitude: Life Above the Clouds' is absolutely stunning. It follows several mountain ranges across different continents and the unique adaptations of their wildlife.",False,6,2025-03-21 16:53:59.853923,if you re interested in mountain ecosystems altitude life above the clouds is absolutely stunning it follows several mountain ranges across different continents and the unique adaptations of their wildlife,0.1875,0.5333333333333333,positive,"mountain,interested,ecosystems,altitude,life"
r2,108,EcoEducator,3 days ago,"For forest ecosystems, I'd highly recommend 'Ancient Woods' which focuses on old-growth forests and how they function as complete ecosystems. The time-lapse photography of forest floor decomposition and renewal is incredible.",False,6,2025-03-22 16:53:59.853923,for forest ecosystems i d highly recommend ancient woods which focuses on old growth forests and how they function as complete ecosystems the time lapse photography of forest floor decomposition and renewal is incredible,0.315,0.51,positive,"forest,ecosystems,highly,recommend,ancient"
t109,109,FilmCollector88,6 hours ago,Finally managed to get the World of Wong Kar-wai Criterion Collection box set! The packaging is gorgeous and the restoration work is incredible. The colors in In the Mood for Love are more vibrant than I've ever seen them. The included booklet is also fantastic. Would love to discuss the special features with other collectors. Which film in the set is your favorite?,True,2,2025-03-25 10:53:59.853924,finally managed to get the world of wong kar wai criterion collection box set the packaging is gorgeous and the restoration work is incredible the colors in in the mood for love are more vibrant than i ve ever seen them the included booklet is also fantastic would love to discuss the special features with other collectors which film in the set is your favorite,0.3998917748917749,0.6981601731601731,positive,"love,finally,managed,world,wong"
t110,110,HDEnthusiast,8 hours ago,"I've been slowly replacing some of my favorite Blu-rays with their 4K UHD counterparts. The difference in films like Blade Runner 2049 and Dune is remarkable, but some older films seem to have minimal improvement. What has been your experience with 4K upgrades? Which titles would you say are must-have in 4K?",True,3,2025-03-25 08:53:59.853924,i ve been slowly replacing some of my favorite blu rays with their k uhd counterparts the difference in films like blade runner and dune is remarkable but some older films seem to have minimal improvement what has been your experience with k upgrades which titles would you say are must have in k,0.2033333333333333,0.6166666666666667,positive,"films,slowly,replacing,favorite,rays"
t111,111,HorrorVault,12 hours ago,"Just completed my journey through Arrow Video's giallo collection and I'm blown away by the restoration work. The colors pop like never before, and the special features are incredibly comprehensive. Deep Red looks particularly stunning. Anyone else collecting these? What's your favorite release in the series?",True,4,2025-03-25 04:53:59.853925,just completed my journey through arrow video s giallo collection and i m blown away by the restoration work the colors pop like never before and the special features are incredibly comprehensive deep red looks particularly stunning anyone else collecting these what s your favorite release in the series,0.3761904761904762,0.6452380952380953,positive,"completed,journey,arrow,video,giallo"
t112,112,ThriftHunter,1 day ago,Hit the jackpot at my local thrift store today! Found original copies of the OOP Anchor Bay Evil Dead trilogy box set and a mint condition copy of the original Man Bites Dog release. Total cost? Just $5! What's your best thrift store/second-hand shopping find?,True,4,2025-03-24 16:53:59.853925,hit the jackpot at my local thrift store today found original copies of the oop anchor bay evil dead trilogy box set and a mint condition copy of the original man bites dog release total cost just what s your best thrift store second hand shopping find,0.06875,0.49374999999999997,neutral,"thrift,store,original,jackpot,local"
t113,113,GhibliFanatic,1 day ago,"Finally completed my Studio Ghibli collection today with the arrival of Only Yesterday! The GKIDS releases are beautiful, though I kept my old Disney DVDs for nostalgia. The picture quality difference between the releases is fascinating. Anyone else collecting all the Ghibli films? What's your favorite release in terms of picture quality and extras?",True,3,2025-03-24 16:53:59.853925,finally completed my studio ghibli collection today with the arrival of only yesterday the gkids releases are beautiful though i kept my old disney dvds for nostalgia the picture quality difference between the releases is fascinating anyone else collecting all the ghibli films what s your favorite release in terms of picture quality and extras,0.35833333333333334,0.8416666666666668,positive,"ghibli,releases,picture,quality,finally"
t114,114,PhysicalMediaPro,1 day ago,"March has been an expensive month! Picked up the new Criterion 4K of Cure, Arrow's Wild Side limited edition, and Vinegar Syndrome's latest exploitation releases. The packaging on these is incredible. Anyone else grab these? What are your thoughts on the transfers and special features?",True,4,2025-03-24 16:53:59.853926,march has been an expensive month picked up the new criterion k of cure arrow s wild side limited edition and vinegar syndrome s latest exploitation releases the packaging on these is incredible anyone else grab these what are your thoughts on the transfers and special features,0.2031539888682746,0.5812615955473098,positive,"march,expensive,month,picked,criterion"
t115,115,CommentaryLover,2 days ago,Just listened to John Carpenter and Kurt Russell's commentary on The Thing - absolute gold! The stories they share and the technical details are fascinating. Also love Roger Ebert's commentary on Citizen Kane. What are some commentary tracks you consider essential listening?,True,6,2025-03-23 16:53:59.853926,just listened to john carpenter and kurt russell s commentary on the thing absolute gold the stories they share and the technical details are fascinating also love roger ebert s commentary on citizen kane what are some commentary tracks you consider essential listening,0.27999999999999997,0.55,positive,"commentary,listened,john,carpenter,kurt"
t116,116,CollectorDetective,2 days ago,Found this interesting Lord of the Rings DVD set at a garage sale. It's in a wooden box with elvish inscriptions and includes some unique collectibles I've never seen before. Could this be a regional exclusive or possibly a bootleg? Posting pictures in the comments - any help identifying would be appreciated!,True,3,2025-03-23 16:53:59.853926,found this interesting lord of the rings dvd set at a garage sale it s in a wooden box with elvish inscriptions and includes some unique collectibles i ve never seen before could this be a regional exclusive or possibly a bootleg posting pictures in the comments any help identifying would be appreciated,0.135,0.5,positive,"found,interesting,lord,rings,garage"
t117,117,OrganizedCollector,3 days ago,"My collection just hit 1000 titles and I need a better organization system. Currently sorting by genre, then alphabetical, but considering switching to studio/distributor then chronological. How do you organize your collection? Any specific shelving recommendations for different formats?",True,6,2025-03-22 16:53:59.853927,my collection just hit titles and i need a better organization system currently sorting by genre then alphabetical but considering switching to studio distributor then chronological how do you organize your collection any specific shelving recommendations for different formats,0.1,0.325,neutral,"collection,titles,need,better,organization"
t118,118,HiddenFeatures,3 days ago,Been revisiting some classic DVDs and forgot how fun hunting for easter eggs used to be! Just found a hidden blooper reel on my Fight Club DVD that I never knew existed. The Matrix DVD extras were also legendary. What are some of your favorite DVD easter eggs and hidden features?,True,6,2025-03-22 16:53:59.853927,been revisiting some classic dvds and forgot how fun hunting for easter eggs used to be just found a hidden blooper reel on my fight club dvd that i never knew existed the matrix dvd extras were also legendary what are some of your favorite dvd easter eggs and hidden features,0.2722222222222222,0.5055555555555556,positive,"easter,eggs,hidden,revisiting,classic"
t119,119,WorldwideCinephile,3 days ago,"I've been eyeing some amazing UK and Japanese releases, but my current player is region-locked. Looking at investing in a region-free player. Any recommendations for reliable models? Also curious about everyone's favorite region B/2 exclusive releases that make it worth the upgrade!",True,6,2025-03-22 16:53:59.853927,i ve been eyeing some amazing uk and japanese releases but my current player is region locked looking at investing in a region free player any recommendations for reliable models also curious about everyone s favorite region b exclusive releases that make it worth the upgrade,0.24285714285714285,0.5999999999999999,positive,"region,releases,player,eyeing,amazing"
t120,120,SteelCollector,4 days ago,Just added the new Dune steelbook to my collection and it's absolutely gorgeous! The embossing and artwork are incredible. Currently at 150 steelbooks and counting. Would love to see everyone's favorite steelbook designs and hear about your holy grail steelbooks. Post pictures of your collection!,True,3,2025-03-21 16:53:59.853928,just added the new dune steelbook to my collection and it s absolutely gorgeous the embossing and artwork are incredible currently at steelbooks and counting would love to see everyone s favorite steelbook designs and hear about your holy grail steelbooks post pictures of your collection,0.45606060606060606,0.709090909090909,positive,"steelbook,collection,steelbooks,added,dune"
t121,121,DocEnthusiast,4 days ago,"Just finished watching through the BBC Planet Earth/Blue Planet complete collection on 4K, and the quality is mind-blowing! The Ken Burns documentaries from PBS are also fantastic on Blu-ray. What documentary box sets do you consider essential for any serious collector?",True,6,2025-03-21 16:53:59.853928,just finished watching through the bbc planet earth blue planet complete collection on k and the quality is mind blowing the ken burns documentaries from pbs are also fantastic on blu ray what documentary box sets do you consider essential for any serious collector,0.02777777777777778,0.39444444444444443,neutral,"planet,finished,watching,earth,blue"
t122,122,PreservationPro,5 days ago,"After noticing some sun damage on a few rare DVDs, I'm looking to upgrade my storage solution. Currently researching UV-protective cases and climate control options. What methods do you use to protect your valuable collections? Any horror stories or lessons learned about media preservation?",True,6,2025-03-20 16:53:59.853929,after noticing some sun damage on a few rare dvds i m looking to upgrade my storage solution currently researching uv protective cases and climate control options what methods do you use to protect your valuable collections any horror stories or lessons learned about media preservation,0.033333333333333326,0.4666666666666666,neutral,"noticing,damage,rare,dvds,looking"
t123,123,MissedOpportunity,5 days ago,Still kicking myself for not picking up the Ingmar Bergman's Cinema box set from Criterion when it was in print. Now it's selling for insane prices on eBay. What limited editions do you regret missing out on? And what's your strategy now for making sure you don't miss important releases?,True,2,2025-03-20 16:53:59.853929,still kicking myself for not picking up the ingmar bergman s cinema box set from criterion when it was in print now it s selling for insane prices on ebay what limited editions do you regret missing out on and what s your strategy now for making sure you don t miss important releases,-0.07428571428571426,0.6163492063492063,neutral,"still,kicking,picking,ingmar,bergman"
t124,124,TransferExpert,6 days ago,Just did a side-by-side comparison of the Final Cut 4K UHD vs the older Blu-ray release of Apocalypse Now. The HDR really makes a difference in the helicopter attack scene! The sound mix is also noticeably different. Has anyone else compared different releases of their favorite films? What differences stood out to you?,True,1,2025-03-19 16:53:59.853929,just did a side by side comparison of the final cut k uhd vs the older blu ray release of apocalypse now the hdr really makes a difference in the helicopter attack scene the sound mix is also noticeably different has anyone else compared different releases of their favorite films what differences stood out to you,0.18095238095238095,0.5904761904761904,positive,"side,different,comparison,final,older"
t125,125,CinemaAtHome,6 days ago,"After months of work, my dedicated home theater room is complete! 120-inch screen, Dolby Atmos setup, and custom-built media shelving for my collection. The acoustic treatment made a huge difference. Share your setup and any tips for others building their home theaters!",True,6,2025-03-19 16:53:59.853930,after months of work my dedicated home theater room is complete inch screen dolby atmos setup and custom built media shelving for my collection the acoustic treatment made a huge difference share your setup and any tips for others building their home theaters,0.25,0.65,positive,"home,setup,months,work,dedicated"
t126,126,AsianCinemaFan,1 week ago,Recently started collecting Hong Kong and Japanese editions of classic Asian cinema. The Hong Kong Legends DVDs have some amazing special features! Anyone else collecting these? I'm particularly interested in finding the original Japanese releases of Battle Royale and Versus.,True,2,1 week ago,recently started collecting hong kong and japanese editions of classic asian cinema the hong kong legends dvds have some amazing special features anyone else collecting these i m particularly interested in finding the original japanese releases of battle royale and versus,0.19431216931216932,0.3486772486772487,positive,"collecting,hong,kong,japanese,recently"
t127,127,DigitalDebater,1 week ago,"I've accumulated quite a stack of unused digital codes from my 4K and Blu-ray purchases. Some people collect them, others trade them. What do you do with yours? Is there a good trading community? Also, how do you feel about digital copies in general as a physical media collector?",True,6,1 week ago,i ve accumulated quite a stack of unused digital codes from my k and blu ray purchases some people collect them others trade them what do you do with yours is there a good trading community also how do you feel about digital copies in general as a physical media collector,0.15,0.24857142857142858,positive,"digital,accumulated,quite,stack,unused"
t128,128,AnimeFanatic,1 week ago,Just received my Akira 4K limited edition and the packaging is incredible! The art book alone is worth the price. GKIDS/Shout Factory's Miyazaki releases are also fantastic. What anime collector's editions do you think are worth the premium price? Any upcoming releases you're excited about?,True,3,1 week ago,just received my akira k limited edition and the packaging is incredible the art book alone is worth the price gkids shout factory s miyazaki releases are also fantastic what anime collector s editions do you think are worth the premium price any upcoming releases you re excited about,0.36726190476190473,0.4821428571428572,positive,"worth,price,releases,received,akira"
t129,129,SaleHunter,1 week ago,"With the Barnes & Noble Criterion sale coming up, thought it would be helpful to create a calendar of all the major boutique label sales for 2024. So far we know about: B&N Criterion (July/November), Arrow's Halloween sale, Vinegar Syndrome's Black Friday. Any others to add to the list? What sales are you saving up for?",True,6,1 week ago,with the barnes noble criterion sale coming up thought it would be helpful to create a calendar of all the major boutique label sales for so far we know about b n criterion july november arrow s halloween sale vinegar syndrome s black friday any others to add to the list what sales are you saving up for,0.14895833333333333,0.7083333333333333,positive,"criterion,sale,sales,barnes,noble"
t130,130,RestorationGeek,1 week ago,Just watched the new 4K restoration of Lawrence of Arabia and I'm absolutely stunned. The level of detail and color accuracy is incredible compared to previous releases. The work done on the audio is equally impressive. What restorations have impressed you the most? Any particularly dramatic before/after comparisons?,True,1,1 week ago,just watched the new k restoration of lawrence of arabia and i m absolutely stunned the level of detail and color accuracy is incredible compared to previous releases the work done on the audio is equally impressive what restorations have impressed you the most any particularly dramatic before after comparisons,0.3920454545454545,0.6901515151515151,positive,"watched,restoration,lawrence,arabia,absolutely"
t131,131,BudgetCollector,1 week ago,Started a spreadsheet to track prices and sales patterns at different retailers. Found that some UK releases are cheaper even with shipping! Also discovered some great deals at second-hand bookstores. What are your strategies for collecting on a budget? Any specific retailers or sales you always watch?,True,6,1 week ago,started a spreadsheet to track prices and sales patterns at different retailers found that some uk releases are cheaper even with shipping also discovered some great deals at second hand bookstores what are your strategies for collecting on a budget any specific retailers or sales you always watch,0.2,0.36875,positive,"sales,retailers,started,spreadsheet,track"
t132,132,SilentCinema,1 week ago,"Recently picked up Criterion's release of Safety Last! and Eureka's Masters of Cinema Fritz Lang box set. The restoration work is amazing, and the musical accompaniments are perfect. What silent film releases do you consider essential? Any particular restorations that stand out?",True,2,1 week ago,recently picked up criterion s release of safety last and eureka s masters of cinema fritz lang box set the restoration work is amazing and the musical accompaniments are perfect what silent film releases do you consider essential any particular restorations that stand out,0.22083333333333335,0.36875,positive,"recently,picked,criterion,release,safety"
t133,133,3DEnthusiast,1 week ago,"Despite most manufacturers dropping 3D TV support, I'm still actively collecting 3D Blu-rays. Some releases like Avatar and Life of Pi are spectacular in 3D. Anyone else still collecting these? What are your favorite 3D releases? Do you think the format will make a comeback with VR?",True,3,1 week ago,despite most manufacturers dropping d tv support i m still actively collecting d blu rays some releases like avatar and life of pi are spectacular in d anyone else still collecting these what are your favorite d releases do you think the format will make a comeback with vr,0.3666666666666667,0.75,positive,"still,collecting,releases,despite,manufacturers"
t134,134,LaserLover,1 week ago,Just scored a mint condition Criterion CAV laserdisc of Blade Runner with exclusive special features. Some of these haven't been ported to newer formats! Anyone else still collecting laserdiscs? What are some of your prized LD finds? Share photos of your collection!,True,6,1 week ago,just scored a mint condition criterion cav laserdisc of blade runner with exclusive special features some of these haven t been ported to newer formats anyone else still collecting laserdiscs what are some of your prized ld finds share photos of your collection,0.35714285714285715,0.5714285714285714,positive,"scored,mint,condition,criterion,laserdisc"
t135,135,CommentaryKing,1 week ago,Been working through some classic commentary tracks lately. The Ridley Scott/Roger Deakins commentary on Blade Runner 2049 is incredible for technical insights. The Kevin Smith/Jason Mewes tracks are always entertaining. What are your favorite commentary tracks? Any hidden gems?,True,6,1 week ago,been working through some classic commentary tracks lately the ridley scott roger deakins commentary on blade runner is incredible for technical insights the kevin smith jason mewes tracks are always entertaining what are your favorite commentary tracks any hidden gems,0.22857142857142856,0.5428571428571429,positive,"commentary,tracks,working,classic,lately"
t136,136,SlipCollector,1 week ago,"Fellow slipcover collectors, what's your method for protecting these precious pieces of artwork? I've started using clear plastic sleeves, but worried about long-term preservation. Also, which retailers are best for ensuring slipcovers are included? Share your holy grail slipcovers!",True,6,1 week ago,fellow slipcover collectors what s your method for protecting these precious pieces of artwork i ve started using clear plastic sleeves but worried about long term preservation also which retailers are best for ensuring slipcovers are included share your holy grail slipcovers,0.38749999999999996,0.5208333333333333,positive,"slipcovers,fellow,slipcover,collectors,method"
t137,137,NoirCollector,1 week ago,"Looking at the different Film Noir collections available - Arrow's Film Noir box sets, Criterion's Noir releases, and Warner Archive's sets. Each has their strengths in terms of transfers and extras. Which ones do you recommend? Any particular standout releases for classic noir films?",True,2,1 week ago,looking at the different film noir collections available arrow s film noir box sets criterion s noir releases and warner archive s sets each has their strengths in terms of transfers and extras which ones do you recommend any particular standout releases for classic noir films,0.18333333333333332,0.375,positive,"noir,film,sets,releases,looking"
t138,138,Organized,1 week ago,Currently using a combination of Letterboxd Pro for logging and Google Sheets for tracking purchases/prices. Looking for something more comprehensive that can handle multiple formats and editions. What do you use to track your collection? Any recommended apps or methods?,True,6,1 week ago,currently using a combination of letterboxd pro for logging and google sheets for tracking purchases prices looking for something more comprehensive that can handle multiple formats and editions what do you use to track your collection any recommended apps or methods,0.16666666666666666,0.3,positive,"currently,using,combination,letterboxd,logging"
t139,139,VHSArchiver,1 week ago,Started a project to preserve my collection of rare VHS tapes that never made it to DVD/Blu-ray. Using a combination of TBC and capture cards. Anyone else working on preservation? What equipment are you using? Let's share tips and discuss which movies need saving!,True,6,1 week ago,started a project to preserve my collection of rare vhs tapes that never made it to dvd blu ray using a combination of tbc and capture cards anyone else working on preservation what equipment are you using let s share tips and discuss which movies need saving,0.3,0.9,positive,"using,started,project,preserve,collection"
t140,140,DirectorsFan,1 week ago,Recently watched the director's cut of Kingdom of Heaven and it's like a completely different (and better) film! Same with Blade Runner: The Final Cut. What are some director's cuts that you think significantly improve upon the theatrical version? Any that made things worse?,True,1,1 week ago,recently watched the director s cut of kingdom of heaven and it s like a completely different and better film same with blade runner the final cut what are some director s cuts that you think significantly improve upon the theatrical version any that made things worse,0.059375,0.49375,neutral,"director,recently,watched,kingdom,heaven"
